historial,tipificaciones,etapas
"Bot: Hola. ¿Qué necesitas? User: Llevo 3 días esperando respuesta sobre mi cotización y nadie me contacta. Bot: Lamento mucho la demora. ¿Me podrías dar tu nombre o número de solicitud? User: Pedro Sánchez, solicité cotización del Tacoma el lunes. Bot: Déjame revisar... encontré tu solicitud. La cotización está en $685,000. User: Eso ya lo sé, lo que necesito es el detalle del financiamiento que pedí. Bot: Voy a verificar con el área de crédito. User: Ya pasaron 3 días, esto es muy lento. Bot: Entiendo tu frustración, déjame escalar el caso. User: Ok pero necesito respuesta hoy.","queja,demora_respuesta,financiamiento",Lead
"Bot: Hola, bienvenido. User: Hola, vi un anuncio de la 4Runner. ¿Cuánto cuesta? Bot: La 4Runner tiene un precio desde $890,000. User: ¿Es el precio final? Bot: Hay variaciones según la versión. ¿Cuál te interesa? User: La versión más equipada. Bot: La 4Runner Limited está en $1,150,000. User: Wow, está cara. ¿No tienen descuento? Bot: Puedo consultarlo con mi gerente. ¿Me dejas tus datos? User: Prefiero no dar mis datos por ahora. Bot: Entiendo. Si cambias de opinión, estamos aquí.","consulta_precio,auto_nuevo,sin_datos",Lead
"Bot: Hola, ¿cómo puedo asistirte? User: Quiero programar el servicio de los 10,000 km de mi Corolla Cross. Bot: Con gusto. El servicio de los 10,000 km incluye cambio de aceite, filtros y revisión general. User: ¿Cuánto cuesta? Bot: Tiene un costo de $3,800. ¿Cuándo te gustaría agendarlo? User: La próxima semana. Bot: Tenemos espacio el martes y jueves. User: El jueves. Bot: Agendado para el jueves. ¿Tu nombre? User: Diana Flores. Bot: Listo Diana.","postventa,servicio_programado",Ticket en proceso
"Bot: Hola. User: Necesito ayuda, mi auto no enciende. Bot: Lamento escuchar eso. ¿Qué modelo es? User: Yaris 2023. Bot: ¿La batería tiene carga? User: No sé, simplemente no enciende. Bot: Podemos enviar una grúa. ¿Dónde te encuentras? User: En Polanco, calle Masaryk 200. Bot: Estamos coordinando la grúa, llegará en aproximadamente 45 minutos. User: Ok, gracias. Bot: ¿Me das tu nombre y teléfono por favor? User: Fernando Ramos, 555-3456.","emergencia,grua,postventa",Ticket creado
"Bot: Hola, ¿en qué puedo ayudarte? User: Quiero un Yaris pero no sé cuál versión me conviene. Bot: El Yaris viene en versiones Core, S y XLE. ¿Para qué lo usarías? User: Uso diario en ciudad. Bot: Te recomiendo el Yaris S, tiene buen equipamiento y precio accesible. User: ¿Cuánto cuesta? Bot: $305,000. ¿Te gustaría verlo? User: Sí. Bot: ¿Me das tus datos para agendar? User: Alejandra Ruiz, 555-7890. Bot: ¿Qué día prefieres? User: El sábado. Bot: Agendado para el sábado Alejandra.","consulta_precio,auto_nuevo,prueba_manejo",SQL
"Bot: Hola. ¿Cómo te ayudo? User: Solo quiero saber si tienen camionetas disponibles. Bot: Sí, tenemos Hilux, Tacoma y 4Runner. User: Ok, gracias. Eso era todo. Bot: ¿No te interesa alguna en particular? User: No, solo quería saber. Gracias.","consulta_general",Awareness
"Bot: Hola, bienvenido. User: Hola, estoy muy molesto. Compré un Corolla hace un mes y ya tiene fallas en la transmisión. Bot: Lamento mucho escuchar eso. Tu vehículo está en garantía, podemos revisarlo sin costo. User: Eso espero, porque pagué mucho por este auto. Bot: Entiendo tu frustración. ¿Cuándo puedes traerlo al taller? User: Hoy mismo si se puede. Bot: Tenemos espacio esta tarde a las 3pm. User: Ok, ahí estaré. Bot: ¿Me confirmas tu nombre? User: Ricardo Gómez. Bot: Te esperamos Ricardo.","queja,garantia,falla_transmision",Ticket creado
"Bot: Hola. ¿En qué te ayudo? User: Quiero información de la Tacoma para trabajo pesado. Bot: La Tacoma es ideal para trabajo. ¿Versión gasolina o diésel? User: Diésel. Bot: La Tacoma diésel está desde $720,000. Tiene motor de 2.8L con 204 HP. User: ¿Qué capacidad de carga tiene? Bot: 1,020 kg de carga útil. User: Bien, necesito una cotización formal para mi empresa. Bot: Claro, ¿me das el RFC y datos de la empresa? User: Transportes del Norte, RFC TDN850312XX1. Bot: ¿Cuántas unidades necesitan? User: 3 Tacomas. Bot: Excelente, preparo la cotización y te la envío. ¿A qué correo? User: compras@transportesdelnorte.com. Bot: Listo, la recibirás hoy.","flotilla,auto_nuevo,cotizacion_empresarial",Opportunity
"Bot: Hola. ¿Qué necesitas? User: Información del Yaris. Bot: El Yaris 2024 está desde $289,000. User: ¿Y el enganche mínimo? Bot: Es del 15%. User: ¿Cuánto queda de mensualidad? Bot: Aproximadamente $5,200 a 48 meses. User: Mmm déjame pensarlo. Bot: ¿Te gustaría que te enviemos más información? User: No, así está bien por ahora.","consulta_precio,financiamiento,auto_nuevo",Lead
"Bot: Bienvenido. ¿Cómo puedo asistirte? User: Mi Hilux tiene una fuga de aceite y ya la llevé 2 veces al taller y no la han reparado bien. Bot: Lamento mucho que estés pasando por esto. Es importante que lo resolvamos. User: Ya es la tercera vez, estoy muy frustrado. Bot: Entiendo perfectamente. Voy a escalar tu caso directamente con el jefe de taller. User: Eso espero porque si no voy a poner una queja formal. Bot: Te aseguro que se va a resolver. ¿Me das tu nombre y número de caso? User: Miguel Ángel Vargas, caso #4521. Bot: Gracias Miguel, te contactará el jefe de taller en las próximas 2 horas.","queja,reincidencia,fuga_aceite",Ticket abierto
